===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:15 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
Class names          | class                        | Engine     | #487    | 0.00028    | 8.1839     | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Handler    | #241    | 0.00053    | 7.5335     | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Session    | #2688   | 0.00004    | 10.0159    | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Exception  | #600    | 0.00023    | 8.3753     | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Node       | #2727   | 0.00004    | 10.0471    | " w"(0.087), "_"(0.035), "."(0.033)
Class names          | class                        | Server     | #97     | 0.00114    | 6.7776     | " w"(0.087), "_"(0.035), "."(0.033)
Attribute names      | self.                        | name       | #7342   | 0.00001    | 12.1253    | " w"(0.087), "_"(0.038), "."(0.033)
Attribute names      | self.                        | value      | #19     | 0.00478    | 5.3441     | " w"(0.087), "_"(0.038), "."(0.033)
Attribute names      | self.                        | config     | #3443   | 0.00003    | 10.4066    | " w"(0.087), "_"(0.038), "."(0.033)
Attribute names      | self.                        | device     | #307    | 0.00043    | 7.7523     | " w"(0.087), "_"(0.038), "."(0.033)
Attribute names      | self.                        | logger     | #7583   | 0.00000    | 12.3128    | " w"(0.087), "_"(0.038), "."(0.033)
Attribute names      | self.                        | state      | #8128   | 0.00000    | 13.0003    | " w"(0.087), "_"(0.038), "."(0.033)
Attribute names      | obj.                         | data       | #248    | 0.00052    | 7.5689     | " w"(0.088), "_"(0.034), "."(0.033)
Attribute names      | req.                         | json       | #189    | 0.00065    | 7.3418     | " w"(0.087), "_"(0.047), "."(0.034)
Attribute names      | path.                        | exists     | #2114   | 0.00006    | 9.7341     | " w"(0.085), "_"(0.039), "."(0.034)
Attribute names      | res.                         | status_code | #715    | 0.00020    | 8.5378     | " w"(0.082), "_"(0.043), "."(0.033)
===================================================================================================================
 SUMMARY FOR 12.5M (1:15 Ratio):
 Total Probes: 98
 Mean Rank: 1861.7 | Std Dev: 2439.6
 Mean CE Loss: 8.6887
 Top-1 Acc: 0.00% | Top-5 Acc: 0.00%
===================================================================================================================
