=============================================================================================================================
 PER-PROBE PARAMETER SCALING MONOTONICITY MATRIX (12.5M -> 25M -> 50M at 1:10 Ratio)
=============================================================================================================================
CAT                  | PROMPT                     | TARGET   | 12.5M RANK   | 25M RANK     | 50M RANK     | SCALING PATTERN     
Class names          | class                      | Dataset  | #1213        | #1137        | #913         | Monotonic Improvement 🟢
Class names          | class                      | Engine   | #312         | #178         | #301         | Non-Monotonic 🟡
Class names          | class                      | Handler  | #318         | #249         | #133         | Monotonic Improvement 🟢
Class names          | class                      | Session  | #2839        | #4645        | #3804        | Non-Monotonic 🟡
Class names          | class                      | Exception | #529         | #1611        | #1124        | Non-Monotonic 🟡
Class names          | class                      | Node     | #3550        | #3176        | #1232        | Monotonic Improvement 🟢
Class names          | class                      | Server   | #93          | #93          | #122         | Monotonic Regression 🔴
Attribute names      | self.                      | name     | #1179        | #6173        | #5702        | Non-Monotonic 🟡
Attribute names      | self.                      | value    | #349         | #23          | #20          | Monotonic Improvement 🟢
Attribute names      | self.                      | config   | #4479        | #1797        | #3148        | Non-Monotonic 🟡
Attribute names      | self.                      | device   | #464         | #505         | #259         | Non-Monotonic 🟡
Attribute names      | self.                      | logger   | #7739        | #6554        | #6964        | Non-Monotonic 🟡
Attribute names      | self.                      | state    | #8020        | #8061        | #8060        | Non-Monotonic 🟡
Attribute names      | obj.                       | data     | #529         | #391         | #408         | Non-Monotonic 🟡
Attribute names      | req.                       | json     | #242         | #268         | #422         | Monotonic Regression 🔴
Attribute names      | path.                      | exists   | #3642        | #2970        | #3946        | Non-Monotonic 🟡
Attribute names      | res.                       | status_code | #462         | #669         | #717         | Monotonic Regression 🔴
=============================================================================================================================
 SCALING BEHAVIOR DISTRIBUTION SUMMARY:
-----------------------------------------------------------------------------------------------------------------------------
  Monotonic Improvement     : 12 / 98 probes (12.2%)
  Monotonic Regression      : 15 / 98 probes (15.3%)
  Non-Monotonic             : 71 / 98 probes (72.4%)
  Unchanged / Equal         :  0 / 98 probes (0.0%)
=============================================================================================================================
