===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:20 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
Function names       | def load_                    | config     | #2050   | 0.00007    | 9.6125     | " w"(0.072), "_"(0.068), ","(0.034)
Function names       | def save_                    | file       | #8175   | 0.00000    | 14.4327    | "_"(0.198), " w"(0.055), "."(0.041)
Function names       | def calculate_               | total      | #3646   | 0.00004    | 10.2130    | "_"(0.059), " w"(0.052), " th"(0.020)
Function names       | def convert_                 | type       | #52     | 0.00186    | 6.2850     | "_"(0.119), " w"(0.053), "."(0.036)
Function names       | def read_                    | bytes      | #1912   | 0.00006    | 9.7900     | "_"(0.163), " w"(0.070), ","(0.039)
Function names       | def create_                  | instance   | #751    | 0.00015    | 8.8221     | "_"(0.180), " w"(0.057), "."(0.043)
Keywords             | if x == 1:\n    pass\n       | else       | #799    | 0.00024    | 8.3476     | " has"(0.008), "pe"(0.007), " th"(0.005)
Keywords             | try:\n    pass\n             | except     | #2293   | 0.00009    | 9.3321     | " w"(0.031), " th"(0.022), "_"(0.013)
Keywords             | for i in                     | range      | #3049   | 0.00005    | 9.9772     | " w"(0.087), "_"(0.058), " th"(0.025)
Keywords             | with open(path)              | as         | #7521   | 0.00001    | 11.2122    | " w"(0.035), "."(0.011), "_"(0.010)
Keywords             | if not                       | found      | #608    | 0.00025    | 8.2752     | " m"(0.019), "urn"(0.017), " w"(0.017)
Keywords             | while                        | True       | #6567   | 0.00001    | 11.4580    | " w"(0.067), "."(0.046), "_"(0.034)
Keywords             | from typing                  | import     | #964    | 0.00014    | 8.9001     | " w"(0.089), "_"(0.032), "#"(0.015)
Keywords             | assert x is                  | not        | #423    | 0.00028    | 8.1959     | " w"(0.097), "vi"(0.053), "("(0.047)
Keywords             | if item                      | in         | #3349   | 0.00005    | 9.9183     | " w"(0.100), "#"(0.027), "."(0.016)
Keywords             | def func():\n                | return     | #1297   | 0.00011    | 9.1067     | " w"(0.076), "_"(0.023), " th"(0.020)
Keywords             | raise ValueError(            | msg        | #4313   | 0.00002    | 10.7130    | " w"(0.088), ","(0.057), "."(0.024)
Keywords             | class MyClass(               | object     | #3826   | 0.00003    | 10.2653    | " w"(0.063), ","(0.034), "."(0.028)
Keywords             | yield                        | from       | #763    | 0.00015    | 8.7847     | " w"(0.102), "_"(0.062), "."(0.033)
Operators            | x = a +                      | b          | #85     | 0.00120    | 6.7253     | " w"(0.028), "urn"(0.013), " m"(0.013)
Operators            | if a ==                      | b          | #75     | 0.00123    | 6.7015     | " w"(0.037), " m"(0.013), "_"(0.013)
Operators            | x +=                         | 1          | #4      | 0.01931    | 3.9474     | " w"(0.042), "x"(0.040), ","(0.026)
Operators            | a >                          | 0          | #19     | 0.00572    | 5.1633     | " w"(0.062), ","(0.029), "."(0.026)
Operators            | x = y *                      | z          | #115    | 0.00116    | 6.7590     | " w"(0.065), "x"(0.029), "."(0.014)
Operators            | a !=                         | None       | #480    | 0.00023    | 8.3810     | " w"(0.056), ","(0.041), "."(0.039)
Operators            | count = len(arr) -           | 1          | #10     | 0.01260    | 4.3742     | " w"(0.082), "("(0.070), "."(0.051)
Operators            | if x <=                      | max_val    | #576    | 0.00021    | 8.4655     | " w"(0.133), "vi"(0.050), "("(0.023)
Operators            | idx = (i + 1) %              | n          | #33     | 0.00245    | 6.0122     | " w"(0.053), "("(0.017), "x"(0.010)
Operators            | res = a &                    | b          | #77     | 0.00120    | 6.7252     | " w"(0.020), " m"(0.016), "urn"(0.016)
Operators            | flags = A |                  | B          | #80     | 0.00171    | 6.3706     | " w"(0.085), "."(0.039), ","(0.031)
Operators            | val = x **                   | 2          | #26     | 0.00247    | 6.0021     | " w"(0.050), "#"(0.010), """(0.009)
Literals             | if x is                      | None       | #504    | 0.00022    | 8.4146     | " w"(0.124), "vi"(0.073), "("(0.046)
Literals             | flag =                       | True       | #2984   | 0.00005    | 9.9314     | " w"(0.085), "."(0.040), " th"(0.027)
Literals             | status =                     | False      | #245    | 0.00038    | 7.8785     | " w"(0.119), "."(0.062), "',"(0.036)
Literals             | count =                      | 0          | #205    | 0.00059    | 7.4430     | " w"(0.086), "_"(0.055), " th"(0.026)
Literals             | name =                       | ""         | #622    | 0.00026    | 8.2421     | " w"(0.020), "urn"(0.011), "("(0.010)
Literals             | items =                      | []         | #82     | 0.00123    | 6.7037     | " w"(0.144), "."(0.036), ","(0.029)
Literals             | data =                       | {}         | #3383   | 0.00006    | 9.7894     | " w"(0.088), "                "(0.013), "."(0.010)
Literals             | rate =                       | 0.0        | #24     | 0.00439    | 5.4278     | " w"(0.057), "."(0.028), "("(0.025)
Literals             | idx =                        | -1         | #25     | 0.00209    | 6.1690     | " w"(0.034), "#"(0.012), " m"(0.007)
Literals             | pi =                         | 3.14       | #109    | 0.00099    | 6.9137     | " w"(0.111), "."(0.056), "_"(0.042)
Literals             | res =                        | 1          | #60     | 0.00157    | 6.4595     | " w"(0.053), "."(0.032), " th"(0.019)
Literals             | msg =                        | "hello"    | #3      | 0.01564    | 4.1577     | " w"(0.077), "."(0.020), """(0.016)
Imports              | import                       | os         | #420    | 0.00027    | 8.2341     | "_"(0.140), " w"(0.105), "."(0.039)
Imports              | import                       | sys        | #16     | 0.00384    | 5.5622     | "_"(0.140), " w"(0.105), "."(0.039)
Imports              | import                       | json       | #557    | 0.00021    | 8.4841     | "_"(0.140), " w"(0.105), "."(0.039)
Imports              | import                       | time       | #2601   | 0.00005    | 9.9372     | "_"(0.140), " w"(0.105), "."(0.039)
Imports              | import                       | math       | #2395   | 0.00005    | 9.8513     | "_"(0.140), " w"(0.105), "."(0.039)
Imports              | import                       | re         | #2788   | 0.00005    | 10.0056    | "_"(0.140), " w"(0.105), "."(0.039)
Imports              | import                       | random     | #1019   | 0.00012    | 9.0505     | "_"(0.140), " w"(0.105), "."(0.039)
Imports              | from typing import           | List       | #2593   | 0.00006    | 9.6574     | " w"(0.068), "_"(0.032), " th"(0.016)
Imports              | from pathlib import          | Path       | #1559   | 0.00006    | 9.8022     | " w"(0.106), "("(0.047), "."(0.034)
Imports              | import numpy as              | np         | #1569   | 0.00007    | 9.5190     | " w"(0.089), "_"(0.083), "."(0.038)
Imports              | import torch.nn as           | nn         | #6357   | 0.00002    | 10.6178    | " w"(0.046), "_"(0.014), " m"(0.010)
Imports              | from collections import      | defaultdict | #671    | 0.00014    | 8.9017     | " w"(0.110), "_"(0.043), "("(0.043)
Imports              | import logging               | as         | #7873   | 0.00000    | 12.5544    | " w"(0.228), "_"(0.045), "."(0.029)
Class names          | class                        | Base       | #272    | 0.00045    | 7.7050     | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Model      | #2248   | 0.00006    | 9.6864     | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Config     | #4100   | 0.00003    | 10.4276    | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Trainer    | #8177   | 0.00000    | 14.1268    | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | User       | #776    | 0.00017    | 8.6972     | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Dataset    | #4773   | 0.00002    | 10.6503    | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Engine     | #184    | 0.00068    | 7.2987     | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Handler    | #325    | 0.00039    | 7.8612     | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Session    | #3022   | 0.00004    | 10.0155    | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Exception  | #783    | 0.00016    | 8.7128     | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Node       | #1121   | 0.00012    | 9.0292     | " w"(0.072), ","(0.043), "."(0.029)
Class names          | class                        | Server     | #204    | 0.00061    | 7.4081     | " w"(0.072), ","(0.043), "."(0.029)
Attribute names      | self.                        | name       | #3111   | 0.00003    | 10.3799    | "."(0.232), " th"(0.050), " w"(0.049)
Attribute names      | self.                        | value      | #18     | 0.00399    | 5.5245     | "."(0.232), " th"(0.050), " w"(0.049)
Attribute names      | self.                        | config     | #1645   | 0.00006    | 9.6885     | "."(0.232), " th"(0.050), " w"(0.049)
Attribute names      | self.                        | device     | #642    | 0.00016    | 8.7120     | "."(0.232), " th"(0.050), " w"(0.049)
Attribute names      | self.                        | logger     | #7151   | 0.00001    | 11.9620    | "."(0.232), " th"(0.050), " w"(0.049)
Attribute names      | self.                        | state      | #8112   | 0.00000    | 13.9307    | "."(0.232), " th"(0.050), " w"(0.049)
Attribute names      | obj.                         | data       | #934    | 0.00012    | 9.0333     | "."(0.149), " th"(0.042), " w"(0.042)
Attribute names      | req.                         | json       | #338    | 0.00030    | 8.1131     | "."(0.170), " w"(0.069), " th"(0.042)
Attribute names      | path.                        | exists     | #2608   | 0.00004    | 10.0496    | "."(0.175), " w"(0.071), " th"(0.034)
Attribute names      | res.                         | status_code | #1001   | 0.00010    | 9.1750     | "."(0.278), " w"(0.031), " th"(0.031)
===================================================================================================================
 SUMMARY FOR 12.5M (1:20 Ratio):
 Total Probes: 98
 Mean Rank: 1880.2 | Std Dev: 2281.9
 Mean CE Loss: 8.6748
 Top-1 Acc: 0.00% | Top-5 Acc: 3.06%
===================================================================================================================
