===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:1 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
Keywords             | yield                        | from       | #310    | 0.00028    | 8.1770     | " w"(0.059), "_"(0.039), "."(0.029)
Operators            | x = a +                      | b          | #311    | 0.00028    | 8.1669     | " w"(0.057), "_"(0.037), "."(0.027)
Operators            | if a ==                      | b          | #316    | 0.00028    | 8.1915     | " w"(0.058), "_"(0.039), "."(0.029)
Operators            | x +=                         | 1          | #153    | 0.00115    | 6.7664     | " w"(0.059), "_"(0.038), "."(0.029)
Operators            | a >                          | 0          | #54     | 0.00303    | 5.7983     | " w"(0.057), "_"(0.038), "."(0.028)
Operators            | x = y *                      | z          | #856    | 0.00010    | 9.2512     | " w"(0.055), "_"(0.035), "."(0.026)
Operators            | a !=                         | None       | #2016   | 0.00005    | 9.9397     | " w"(0.057), "_"(0.038), "."(0.028)
Operators            | count = len(arr) -           | 1          | #153    | 0.00115    | 6.7686     | " w"(0.057), "_"(0.039), "."(0.027)
Operators            | if x <=                      | max_val    | #1351   | 0.00006    | 9.6492     | " w"(0.059), "_"(0.038), "."(0.028)
Operators            | idx = (i + 1) %              | n          | #16     | 0.00626    | 5.0729     | " w"(0.058), "_"(0.038), "."(0.027)
Operators            | res = a &                    | b          | #316    | 0.00028    | 8.1816     | " w"(0.055), "_"(0.036), ","(0.026)
Operators            | flags = A |                  | B          | #277    | 0.00035    | 7.9515     | " w"(0.057), "_"(0.037), "."(0.027)
Operators            | val = x **                   | 2          | #217    | 0.00068    | 7.2914     | " w"(0.055), "_"(0.034), ","(0.025)
Literals             | if x is                      | None       | #2031   | 0.00005    | 9.9828     | " w"(0.059), "_"(0.039), "."(0.028)
Literals             | flag =                       | True       | #991    | 0.00008    | 9.4152     | " w"(0.057), "_"(0.038), "."(0.027)
Literals             | status =                     | False      | #499    | 0.00016    | 8.7671     | " w"(0.056), "_"(0.037), "."(0.027)
Literals             | count =                      | 0          | #56     | 0.00297    | 5.8197     | " w"(0.056), "_"(0.036), "."(0.027)
Literals             | name =                       | ""         | #3083   | 0.00004    | 10.2311    | " w"(0.057), "_"(0.037), "."(0.027)
Literals             | items =                      | []         | #73     | 0.00215    | 6.1420     | " w"(0.055), "_"(0.034), ","(0.025)
Literals             | data =                       | {}         | #1423   | 0.00006    | 9.6455     | " w"(0.055), "_"(0.036), "."(0.026)
Literals             | rate =                       | 0.0        | #56     | 0.00299    | 5.8131     | " w"(0.056), "_"(0.036), "."(0.027)
Literals             | idx =                        | -1         | #32     | 0.00425    | 5.4612     | " w"(0.054), "_"(0.035), ","(0.025)
Literals             | pi =                         | 3.14       | #294    | 0.00031    | 8.0703     | " w"(0.055), "_"(0.033), ","(0.025)
Literals             | res =                        | 1          | #157    | 0.00111    | 6.8029     | " w"(0.055), "_"(0.036), "."(0.026)
Literals             | msg =                        | "hello"    | #42     | 0.00353    | 5.6455     | " w"(0.055), "_"(0.034), ","(0.026)
Imports              | import                       | os         | #1315   | 0.00007    | 9.6360     | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | import                       | sys        | #17     | 0.00581    | 5.1478     | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | import                       | json       | #19     | 0.00567    | 5.1732     | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | import                       | time       | #4549   | 0.00003    | 10.5267    | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | import                       | math       | #2297   | 0.00004    | 10.0579    | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | import                       | re         | #1048   | 0.00008    | 9.4642     | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | import                       | random     | #1063   | 0.00008    | 9.4798     | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | from typing import           | List       | #3273   | 0.00003    | 10.3015    | " w"(0.059), "_"(0.039), "."(0.028)
Imports              | from pathlib import          | Path       | #6249   | 0.00002    | 10.8295    | " w"(0.059), "_"(0.039), "."(0.029)
Imports              | import numpy as              | np         | #1920   | 0.00005    | 9.8214     | " w"(0.054), "_"(0.032), ","(0.024)
Imports              | import torch.nn as           | nn         | #3434   | 0.00003    | 10.3109    | " w"(0.058), "_"(0.038), "."(0.028)
Imports              | from collections import      | defaultdict | #1012   | 0.00008    | 9.4426     | " w"(0.059), "_"(0.039), "."(0.029)
Imports              | import logging               | as         | #7274   | 0.00002    | 11.0822    | " w"(0.059), "_"(0.039), "."(0.029)
Class names          | class                        | Base       | #277    | 0.00034    | 7.9728     | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Model      | #4002   | 0.00003    | 10.4260    | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Config     | #2587   | 0.00004    | 10.1447    | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Trainer    | #325    | 0.00026    | 8.2385     | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | User       | #541    | 0.00014    | 8.8635     | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Dataset    | #231    | 0.00052    | 7.5588     | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Engine     | #969    | 0.00008    | 9.4103     | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Handler    | #308    | 0.00029    | 8.1447     | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Session    | #3820   | 0.00003    | 10.3947    | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Exception  | #2101   | 0.00005    | 9.9885     | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Node       | #2464   | 0.00004    | 10.1135    | " w"(0.058), "_"(0.039), "."(0.029)
Class names          | class                        | Server     | #40     | 0.00374    | 5.5891     | " w"(0.058), "_"(0.039), "."(0.029)
Attribute names      | self.                        | name       | #173    | 0.00100    | 6.9045     | " w"(0.058), "_"(0.038), "."(0.028)
Attribute names      | self.                        | value      | #21     | 0.00516    | 5.2678     | " w"(0.058), "_"(0.038), "."(0.028)
Attribute names      | self.                        | config     | #6009   | 0.00002    | 10.7795    | " w"(0.058), "_"(0.038), "."(0.028)
Attribute names      | self.                        | device     | #832    | 0.00009    | 9.2639     | " w"(0.058), "_"(0.038), "."(0.028)
Attribute names      | self.                        | logger     | #8000   | 0.00001    | 11.3733    | " w"(0.058), "_"(0.038), "."(0.028)
Attribute names      | self.                        | state      | #8162   | 0.00001    | 11.6233    | " w"(0.058), "_"(0.038), "."(0.028)
Attribute names      | obj.                         | data       | #1098   | 0.00007    | 9.5312     | " w"(0.059), "_"(0.039), "."(0.029)
Attribute names      | req.                         | json       | #19     | 0.00569    | 5.1692     | " w"(0.059), "_"(0.038), "."(0.028)
Attribute names      | path.                        | exists     | #2915   | 0.00004    | 10.2317    | " w"(0.059), "_"(0.039), "."(0.029)
Attribute names      | res.                         | status_code | #2467   | 0.00004    | 10.0924    | " w"(0.058), "_"(0.038), "."(0.028)
===================================================================================================================
 SUMMARY FOR 12.5M (1:1 Ratio):
 Total Probes: 98
 Mean Rank: 1858.0 | Std Dev: 2277.6
 Mean CE Loss: 8.7093
 Top-1 Acc: 0.00% | Top-5 Acc: 0.00%
===================================================================================================================
