============================================================================================================================================================================================================================
 MASTER PER-PROMPT TARGET RANK MATRIX (12.5M vs 25M vs 50M)
============================================================================================================================================================================================================================
CAT                  | PROMPT                       | TARGET     | 12.5M 1:1  | 12.5M 1:5  | 12.5M 1:10 | 12.5M 1:15 | 12.5M 1:20 | 12.5M 1:25 | 25M 1:1    | 25M 1:5    | 25M 1:10   | 25M 1:15   | 25M 1:20   | 25M 1:25   | 50M 1:1    | 50M 1:10   | 50M 1:20   | 50M 1:25   | AVG RANK
Identifier recovery  | width *                      | height     | #1194      | #814       | #5292      | #1780      | #3821      | #3674      | #5783      | #1823      | #3518      | #2232      | #1732      | #5180      | #1761      | #3935      | #4191      | #1849      | #3036.2
Function names       | def get_                     | name       | #172       | #3259      | #5458      | #7309      | #5798      | #5664      | #6824      | #7384      | #6477      | #6301      | #7138      | #1579      | #5720      | #5859      | #6235      | #2771      | #5246.8
Function names       | def set_                     | val        | #3529      | #1252      | #3294      | #1224      | #924       | #5238      | #3000      | #1788      | #3931      | #5611      | #3626      | #3001      | #3353      | #3860      | #6590      | #5093      | #3457.1
Function names       | def parse_                   | data       | #1110      | #433       | #502       | #230       | #1309      | #440       | #759       | #983       | #401       | #673       | #433       | #761       | #967       | #389       | #1217      | #939       | #721.6 
Function names       | def build_                   | model      | #2718      | #4459      | #3068      | #4207      | #1872      | #2675      | #2135      | #3336      | #1803      | #1575      | #6250      | #2662      | #3002      | #4211      | #4334      | #3904      | #3263.2
Function names       | def test_                    | func       | #779       | #474       | #636       | #368       | #860       | #250       | #577       | #769       | #776       | #672       | #718       | #765       | #1026      | #401       | #615       | #1136      | #676.4 
Function names       | def process_                 | request    | #3289      | #420       | #365       | #694       | #253       | #491       | #1750      | #740       | #420       | #588       | #435       | #392       | #680       | #634       | #426       | #375       | #747.0 
Function names       | def validate_                | input      | #3878      | #2860      | #1508      | #2800      | #1347      | #2614      | #3980      | #715       | #2620      | #1343      | #1280      | #2207      | #1770      | #959       | #765       | #1829      | #2029.7
Function names       | def load_                    | config     | #5974      | #2302      | #6086      | #3268      | #2050      | #4940      | #3156      | #4999      | #1434      | #3302      | #2336      | #5014      | #5119      | #3013      | #6773      | #1724      | #3843.1
Function names       | def save_                    | file       | #5558      | #6767      | #8055      | #8191      | #8175      | #8177      | #7223      | #8053      | #7973      | #8084      | #8164      | #8089      | #8056      | #8084      | #8177      | #8013      | #7802.4
Function names       | def calculate_               | total      | #4455      | #4933      | #2989      | #4502      | #3646      | #4487      | #5776      | #4181      | #3209      | #3423      | #2946      | #3343      | #5276      | #1905      | #2590      | #2493      | #3759.6
Function names       | def convert_                 | type       | #109       | #45        | #135       | #40        | #52        | #32        | #86        | #41        | #27        | #33        | #38        | #50        | #45        | #24        | #62        | #139       | #59.9  
Function names       | def read_                    | bytes      | #1174      | #1857      | #2928      | #567       | #1912      | #1605      | #1540      | #1669      | #1488      | #1725      | #1066      | #4103      | #2238      | #1662      | #3631      | #4925      | #2130.6
Function names       | def create_                  | instance   | #842       | #112       | #222       | #275       | #751       | #293       | #798       | #323       | #405       | #352       | #247       | #504       | #375       | #296       | #308       | #268       | #398.2 
Keywords             | if x == 1:\n    pass\n       | else       | #538       | #389       | #305       | #363       | #799       | #424       | #374       | #289       | #474       | #485       | #280       | #403       | #739       | #399       | #192       | #157       | #413.1 
Keywords             | try:\n    pass\n             | except     | #3759      | #352       | #581       | #545       | #2293      | #425       | #815       | #1461      | #1168      | #743       | #919       | #631       | #1375      | #734       | #1979      | #1187      | #1185.4
Keywords             | for i in                     | range      | #7366      | #2878      | #1196      | #4070      | #3049      | #5216      | #5635      | #3880      | #5073      | #3693      | #2597      | #3634      | #2850      | #3366      | #1691      | #3881      | #3754.7
Keywords             | with open(path)              | as         | #7328      | #8052      | #8095      | #7686      | #7521      | #8011      | #6830      | #8044      | #7964      | #8037      | #8139      | #8090      | #7935      | #8106      | #8083      | #8170      | #7880.7
Keywords             | if not                       | found      | #305       | #93        | #132       | #102       | #608       | #161       | #72        | #150       | #57        | #144       | #66        | #57        | #282       | #137       | #123       | #44        | #158.3 
Keywords             | while                        | True       | #992       | #275       | #143       | #515       | #6567      | #1007      | #363       | #302       | #445       | #469       | #295       | #88        | #553       | #230       | #1566      | #822       | #914.5 
Keywords             | from typing                  | import     | #1000      | #1222      | #433       | #803       | #964       | #1971      | #1569      | #1247      | #684       | #626       | #1025      | #555       | #711       | #474       | #710       | #1256      | #953.1 
Keywords             | assert x is                  | not        | #195       | #1040      | #625       | #967       | #423       | #1089      | #841       | #569       | #810       | #1089      | #535       | #609       | #1634      | #582       | #797       | #492       | #768.6 
Keywords             | if item                      | in         | #96        | #7475      | #6209      | #2195      | #3349      | #7118      | #1421      | #5795      | #4682      | #4099      | #6675      | #7440      | #5128      | #5742      | #7541      | #6448      | #5088.3
Keywords             | def func():\n                | return     | #816       | #311       | #436       | #279       | #1297      | #323       | #441       | #466       | #766       | #223       | #150       | #1150      | #830       | #779       | #2260      | #1082      | #725.6 
Keywords             | raise ValueError(            | msg        | #315       | #2741      | #954       | #1287      | #4313      | #3025      | #391       | #1151      | #883       | #384       | #646       | #1942      | #1281      | #561       | #1250      | #2165      | #1455.6
Keywords             | class MyClass(               | object     | #7879      | #4797      | #4744      | #2884      | #3826      | #5357      | #5930      | #5477      | #4820      | #5713      | #5442      | #6360      | #6019      | #6774      | #3124      | #6862      | #5375.5
Keywords             | yield                        | from       | #310       | #539       | #323       | #297       | #763       | #460       | #441       | #265       | #337       | #239       | #323       | #520       | #507       | #122       | #1255      | #222       | #432.7 
Operators            | x = a +                      | b          | #311       | #121       | #57        | #65        | #85        | #106       | #169       | #53        | #104       | #78        | #125       | #86        | #108       | #47        | #196       | #89        | #112.5 
Operators            | if a ==                      | b          | #316       | #122       | #59        | #67        | #75        | #111       | #161       | #53        | #104       | #70        | #125       | #80        | #106       | #48        | #198       | #97        | #112.0 
Operators            | x +=                         | 1          | #153       | #30        | #11        | #32        | #4         | #27        | #34        | #28        | #37        | #25        | #20        | #10        | #47        | #37        | #10        | #7         | #32.0  
Operators            | a >                          | 0          | #54        | #37        | #31        | #41        | #19        | #40        | #120       | #50        | #48        | #40        | #40        | #27        | #72        | #44        | #21        | #22        | #44.1  
Operators            | x = y *                      | z          | #856       | #239       | #189       | #303       | #115       | #284       | #876       | #713       | #406       | #525       | #341       | #156       | #437       | #342       | #142       | #136       | #378.8 
Operators            | a !=                         | None       | #2016      | #467       | #839       | #1037      | #480       | #1067      | #1754      | #1442      | #728       | #848       | #1335      | #876       | #1030      | #1281      | #529       | #1028      | #1047.3
Operators            | count = len(arr) -           | 1          | #153       | #32        | #21        | #32        | #10        | #24        | #32        | #25        | #38        | #28        | #19        | #10        | #48        | #34        | #19        | #10        | #33.4  
Operators            | if x <=                      | max_val    | #1351      | #171       | #533       | #661       | #576       | #286       | #328       | #308       | #85        | #868       | #551       | #532       | #1308      | #511       | #484       | #600       | #572.1 
Operators            | idx = (i + 1) %              | n          | #16        | #94        | #38        | #118       | #33        | #81        | #242       | #86        | #63        | #53        | #65        | #90        | #138       | #43        | #82        | #57        | #81.2  
Operators            | res = a &                    | b          | #316       | #121       | #90        | #66        | #77        | #76        | #165       | #52        | #112       | #85        | #130       | #73        | #107       | #45        | #144       | #108       | #110.4 
Operators            | flags = A |                  | B          | #277       | #136       | #129       | #192       | #80        | #259       | #456       | #228       | #193       | #179       | #159       | #81        | #225       | #192       | #42        | #42        | #179.4 
Operators            | val = x **                   | 2          | #217       | #37        | #39        | #48        | #26        | #27        | #51        | #53        | #49        | #47        | #37        | #13        | #69        | #31        | #81        | #34        | #53.7  
Literals             | if x is                      | None       | #2031      | #460       | #714       | #1031      | #504       | #945       | #1768      | #1404      | #701       | #829       | #1332      | #725       | #1027      | #1373      | #586       | #867       | #1018.6
Literals             | flag =                       | True       | #991       | #282       | #420       | #518       | #2984      | #684       | #388       | #292       | #451       | #552       | #292       | #17        | #555       | #227       | #1442      | #285       | #648.8 
Literals             | status =                     | False      | #499       | #632       | #171       | #360       | #245       | #516       | #381       | #700       | #460       | #159       | #672       | #309       | #786       | #540       | #4227      | #253       | #681.9 
Literals             | count =                      | 0          | #56        | #32        | #65        | #39        | #205       | #38        | #119       | #54        | #48        | #40        | #40        | #40        | #73        | #44        | #50        | #32        | #60.9  
Literals             | name =                       | ""         | #3083      | #2734      | #4211      | #4985      | #622       | #2229      | #4115      | #7162      | #1767      | #5915      | #5533      | #4541      | #3118      | #6271      | #96        | #1133      | #3594.7
Literals             | items =                      | []         | #73        | #43        | #127       | #54        | #82        | #43        | #22        | #42        | #76        | #44        | #44        | #67        | #67        | #42        | #137       | #51        | #63.4  
Literals             | data =                       | {}         | #1423      | #2426      | #2583      | #1468      | #3383      | #860       | #2064      | #2896      | #1125      | #1767      | #1008      | #2039      | #540       | #1226      | #4480      | #2073      | #1960.1
Literals             | rate =                       | 0.0        | #56        | #39        | #21        | #39        | #24        | #41        | #120       | #55        | #46        | #39        | #39        | #56        | #72        | #45        | #42        | #18        | #47.0  
Literals             | idx =                        | -1         | #32        | #45        | #44        | #27        | #25        | #35        | #42        | #26        | #30        | #27        | #28        | #19        | #28        | #25        | #9         | #14        | #28.5  
Literals             | pi =                         | 3.14       | #294       | #73        | #256       | #78        | #109       | #91        | #110       | #222       | #121       | #88        | #177       | #43        | #241       | #123       | #36        | #42        | #131.5 
Literals             | res =                        | 1          | #157       | #33        | #43        | #37        | #60        | #23        | #30        | #25        | #37        | #27        | #20        | #27        | #49        | #42        | #23        | #27        | #41.2  
Literals             | msg =                        | "hello"    | #42        | #67        | #103       | #59        | #3         | #43        | #106       | #75        | #65        | #39        | #56        | #36        | #116       | #22        | #19        | #16        | #54.2  
Imports              | import                       | os         | #1315      | #1066      | #608       | #1186      | #420       | #788       | #487       | #1187      | #945       | #1173      | #423       | #745       | #1421      | #474       | #713       | #716       | #854.2 
Imports              | import                       | sys        | #17        | #17        | #15        | #16        | #16        | #19        | #21        | #30        | #16        | #17        | #16        | #16        | #23        | #17        | #13        | #12        | #17.6  
Imports              | import                       | json       | #19        | #386       | #273       | #198       | #557       | #321       | #495       | #402       | #281       | #180       | #481       | #195       | #980       | #432       | #305       | #493       | #374.9 
Imports              | import                       | time       | #4549      | #5122      | #2278      | #2582      | #2601      | #2071      | #2932      | #1634      | #1977      | #2852      | #2185      | #2980      | #1749      | #3249      | #1852      | #3832      | #2777.8
Imports              | import                       | math       | #2297      | #1512      | #1469      | #1045      | #2395      | #1657      | #1620      | #999       | #1634      | #566       | #2403      | #4640      | #2332      | #1407      | #2230      | #2640      | #1927.9
Imports              | import                       | re         | #1048      | #4794      | #3807      | #4051      | #2788      | #3811      | #186       | #4630      | #3540      | #1960      | #4249      | #5892      | #1752      | #4995      | #5090      | #3821      | #3525.9
Imports              | import                       | random     | #1063      | #1960      | #1371      | #856       | #1019      | #1166      | #745       | #802       | #2797      | #1966      | #1185      | #1000      | #1492      | #1850      | #1244      | #1087      | #1350.2
Imports              | from typing import           | List       | #3273      | #4622      | #1679      | #1368      | #2593      | #2821      | #4991      | #5061      | #1920      | #3554      | #3130      | #731       | #2886      | #3019      | #2895      | #2547      | #2943.1
Imports              | from pathlib import          | Path       | #6249      | #3014      | #853       | #597       | #1559      | #1831      | #1401      | #2255      | #1801      | #2339      | #1814      | #1808      | #1205      | #831       | #1348      | #3168      | #2004.6
Imports              | import numpy as              | np         | #1920      | #810       | #1631      | #1012      | #1569      | #1903      | #3579      | #1842      | #1066      | #2794      | #1589      | #2890      | #1274      | #1881      | #1304      | #1832      | #1806.0
Imports              | import torch.nn as           | nn         | #3434      | #4425      | #6827      | #4282      | #6357      | #7188      | #4253      | #5461      | #3967      | #5663      | #1511      | #7647      | #4395      | #5032      | #2209      | #6437      | #4943.0
Imports              | from collections import      | defaultdict | #1012      | #244       | #655       | #520       | #671       | #398       | #1246      | #600       | #536       | #339       | #706       | #344       | #901       | #331       | #858       | #251       | #600.8 
Imports              | import logging               | as         | #7274      | #8023      | #8123      | #7636      | #7873      | #7954      | #6744      | #8025      | #7959      | #8031      | #8112      | #8161      | #7927      | #8111      | #8117      | #8183      | #7890.8
Class names          | class                        | Base       | #277       | #148       | #145       | #219       | #272       | #253       | #451       | #233       | #195       | #216       | #153       | #127       | #223       | #197       | #136       | #80        | #207.8 
Class names          | class                        | Model      | #4002      | #2565      | #2197      | #2975      | #2248      | #2224      | #1370      | #2359      | #1688      | #1550      | #2281      | #2500      | #2776      | #1901      | #1949      | #2229      | #2300.9
Class names          | class                        | Config     | #2587      | #3078      | #5382      | #4703      | #4100      | #5347      | #5562      | #4477      | #2814      | #6187      | #5325      | #4717      | #2888      | #4666      | #4189      | #6547      | #4535.6
Class names          | class                        | Trainer    | #325       | #7720      | #8071      | #8175      | #8177      | #7756      | #8047      | #7853      | #8159      | #8096      | #8052      | #8155      | #8002      | #8181      | #8100      | #8181      | #7565.6
Class names          | class                        | User       | #541       | #474       | #345       | #398       | #776       | #461       | #413       | #629       | #547       | #659       | #587       | #359       | #345       | #370       | #441       | #357       | #481.4 
Class names          | class                        | Dataset    | #231       | #1189      | #1213      | #889       | #4773      | #861       | #1183      | #757       | #1137      | #1092      | #490       | #850       | #673       | #913       | #670       | #895       | #1113.5
Class names          | class                        | Engine     | #969       | #221       | #312       | #487       | #184       | #272       | #299       | #280       | #178       | #280       | #302       | #152       | #104       | #301       | #238       | #113       | #293.2 
Class names          | class                        | Handler    | #308       | #300       | #318       | #241       | #325       | #447       | #356       | #306       | #249       | #463       | #234       | #283       | #469       | #133       | #278       | #146       | #303.5 
Class names          | class                        | Session    | #3820      | #2547      | #2839      | #2688      | #3022      | #3191      | #3522      | #3168      | #4645      | #4621      | #4190      | #3895      | #1715      | #3804      | #3756      | #2891      | #3394.6
Class names          | class                        | Exception  | #2101      | #1853      | #529       | #600       | #783       | #962       | #2230      | #1160      | #1611      | #1065      | #1414      | #674       | #3538      | #1124      | #1096      | #1286      | #1376.6
Class names          | class                        | Node       | #2464      | #4074      | #3550      | #2727      | #1121      | #3386      | #1810      | #1594      | #3176      | #2669      | #2676      | #5637      | #3373      | #1232      | #2157      | #2617      | #2766.4
Class names          | class                        | Server     | #40        | #63        | #93        | #97        | #204       | #170       | #110       | #120       | #93        | #109       | #111       | #61        | #170       | #122       | #121       | #39        | #107.7 
Attribute names      | self.                        | name       | #173       | #3280      | #1179      | #7342      | #3111      | #5581      | #6978      | #7422      | #6173      | #6057      | #7023      | #1718      | #5829      | #5702      | #220       | #839       | #4289.2
Attribute names      | self.                        | value      | #21        | #19        | #349       | #19        | #18        | #12        | #16        | #14        | #23        | #18        | #24        | #124       | #12        | #20        | #204       | #410       | #81.4  
Attribute names      | self.                        | config     | #6009      | #2387      | #4479      | #3443      | #1645      | #3830      | #3152      | #4958      | #1797      | #3678      | #2720      | #5560      | #5122      | #3148      | #1892      | #2544      | #3522.8
Attribute names      | self.                        | device     | #832       | #681       | #464       | #307       | #642       | #170       | #1012      | #583       | #505       | #386       | #256       | #610       | #289       | #259       | #253       | #1300      | #534.3 
Attribute names      | self.                        | logger     | #8000      | #5923      | #7739      | #7583      | #7151      | #6712      | #6666      | #7656      | #6554      | #7687      | #7665      | #5491      | #7254      | #6964      | #3209      | #7332      | #6849.1
Attribute names      | self.                        | state      | #8162      | #8163      | #8020      | #8128      | #8112      | #8116      | #7367      | #8027      | #8061      | #7911      | #7959      | #8081      | #8177      | #8060      | #7958      | #7662      | #7997.8
Attribute names      | obj.                         | data       | #1098      | #431       | #529       | #248       | #934       | #445       | #750       | #1021      | #391       | #789       | #395       | #689       | #965       | #408       | #722       | #696       | #656.9 
Attribute names      | req.                         | json       | #19        | #431       | #242       | #189       | #338       | #352       | #484       | #401       | #268       | #99        | #522       | #173       | #985       | #422       | #551       | #404       | #367.5 
Attribute names      | path.                        | exists     | #2915      | #2845      | #3642      | #2114      | #2608      | #1125      | #5942      | #3791      | #2970      | #2980      | #3006      | #4307      | #3299      | #3946      | #2805      | #3341      | #3227.2
Attribute names      | res.                         | status_code | #2467      | #727       | #462       | #715       | #1001      | #432       | #554       | #314       | #669       | #474       | #922       | #579       | #1300      | #717       | #447       | #464       | #765.2 
