===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:10 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
Function names       | def convert_                 | type       | #135    | 0.00078    | 7.1518     | "_"(0.144), " w"(0.030), ","(0.021)
Function names       | def read_                    | bytes      | #2928   | 0.00004    | 10.1990    | "_"(0.169), " w"(0.047), "."(0.035)
Function names       | def create_                  | instance   | #222    | 0.00048    | 7.6431     | "_"(0.173), " w"(0.042), ","(0.036)
Keywords             | if x == 1:\n    pass\n       | else       | #305    | 0.00041    | 7.7998     | " w"(0.072), "_"(0.045), "."(0.030)
Keywords             | try:\n    pass\n             | except     | #581    | 0.00021    | 8.4807     | " w"(0.085), "_"(0.048), "."(0.035)
Keywords             | for i in                     | range      | #1196   | 0.00013    | 8.9446     | "_"(0.046), " w"(0.043), ","(0.017)
Keywords             | with open(path)              | as         | #8095   | 0.00000    | 13.5451    | " w"(0.061), "vi"(0.042), "_"(0.036)
Keywords             | if not                       | found      | #132    | 0.00080    | 7.1278     | "_"(0.090), " w"(0.075), "."(0.056)
Keywords             | while                        | True       | #143    | 0.00082    | 7.1031     | " w"(0.038), "_"(0.029), ","(0.016)
Keywords             | from typing                  | import     | #433    | 0.00027    | 8.2293     | " w"(0.079), "_"(0.055), "."(0.035)
Keywords             | assert x is                  | not        | #625    | 0.00017    | 8.6740     | " w"(0.097), "."(0.036), "',"(0.036)
Keywords             | if item                      | in         | #6209   | 0.00002    | 11.1037    | " w"(0.068), ","(0.037), "_"(0.036)
Keywords             | def func():\n                | return     | #436    | 0.00034    | 8.0008     | " w"(0.029), "_"(0.017), "/"(0.016)
Keywords             | raise ValueError(            | msg        | #954    | 0.00012    | 8.9934     | " w"(0.065), "vi"(0.041), ","(0.038)
Keywords             | class MyClass(               | object     | #4744   | 0.00002    | 10.7798    | " w"(0.077), "vi"(0.045), "."(0.035)
Keywords             | yield                        | from       | #323    | 0.00040    | 7.8273     | " w"(0.055), "_"(0.031), "."(0.022)
Operators            | x = a +                      | b          | #57     | 0.00164    | 6.4131     | "_"(0.039), " w"(0.039), ","(0.024)
Operators            | if a ==                      | b          | #59     | 0.00172    | 6.3641     | "_"(0.066), " w"(0.051), ","(0.027)
Operators            | x +=                         | 1          | #11     | 0.00651    | 5.0351     | "_"(0.054), " w"(0.052), ","(0.039)
Operators            | a >                          | 0          | #31     | 0.00373    | 5.5922     | " w"(0.088), "."(0.041), "_"(0.038)
Operators            | x = y *                      | z          | #189    | 0.00063    | 7.3643     | "_"(0.054), " w"(0.050), ","(0.040)
Operators            | a !=                         | None       | #839    | 0.00014    | 8.8455     | " w"(0.074), "_"(0.045), "."(0.034)
Operators            | count = len(arr) -           | 1          | #21     | 0.00360    | 5.6265     | " w"(0.078), "_"(0.055), "."(0.050)
Operators            | if x <=                      | max_val    | #533    | 0.00021    | 8.4516     | " w"(0.084), "vi"(0.039), "."(0.035)
Operators            | idx = (i + 1) %              | n          | #38     | 0.00255    | 5.9698     | " w"(0.067), "_"(0.049), ","(0.038)
Operators            | res = a &                    | b          | #90     | 0.00111    | 6.8078     | " w"(0.055), "_"(0.044), " ex"(0.020)
Operators            | flags = A |                  | B          | #129    | 0.00090    | 7.0110     | " w"(0.073), "vi"(0.039), "."(0.033)
Operators            | val = x **                   | 2          | #39     | 0.00284    | 5.8632     | " w"(0.090), "."(0.045), "vi"(0.033)
Literals             | if x is                      | None       | #714    | 0.00015    | 8.7731     | " w"(0.087), "."(0.041), "_"(0.040)
Literals             | flag =                       | True       | #420    | 0.00027    | 8.2149     | "_"(0.073), " w"(0.061), ","(0.046)
Literals             | status =                     | False      | #171    | 0.00064    | 7.3596     | " w"(0.076), "_"(0.076), "."(0.065)
Literals             | count =                      | 0          | #65     | 0.00138    | 6.5832     | " w"(0.080), "."(0.076), "_"(0.065)
Literals             | name =                       | ""         | #4211   | 0.00002    | 10.7620    | "_"(0.103), " w"(0.071), "."(0.055)
Literals             | items =                      | []         | #127    | 0.00087    | 7.0519     | "_"(0.094), " w"(0.065), "."(0.050)
Literals             | data =                       | {}         | #2583   | 0.00005    | 9.8506     | "_"(0.073), " w"(0.059), ","(0.035)
Literals             | rate =                       | 0.0        | #21     | 0.00343    | 5.6755     | "_"(0.078), " w"(0.069), "."(0.043)
Literals             | idx =                        | -1         | #44     | 0.00193    | 6.2515     | "_"(0.097), " w"(0.069), "."(0.049)
Literals             | pi =                         | 3.14       | #256    | 0.00043    | 7.7561     | "_"(0.083), " w"(0.078), "."(0.065)
Literals             | res =                        | 1          | #43     | 0.00192    | 6.2548     | "_"(0.077), " w"(0.070), "."(0.064)
Literals             | msg =                        | "hello"    | #103    | 0.00098    | 6.9314     | " w"(0.083), "_"(0.073), "."(0.071)
Imports              | import                       | os         | #608    | 0.00020    | 8.5332     | " w"(0.088), "."(0.038), "',"(0.029)
Imports              | import                       | sys        | #15     | 0.00749    | 4.8945     | " w"(0.088), "."(0.038), "',"(0.029)
Imports              | import                       | json       | #273    | 0.00042    | 7.7773     | " w"(0.088), "."(0.038), "',"(0.029)
Imports              | import                       | time       | #2278   | 0.00005    | 9.8554     | " w"(0.088), "."(0.038), "',"(0.029)
Imports              | import                       | math       | #1469   | 0.00008    | 9.4160     | " w"(0.088), "."(0.038), "',"(0.029)
Imports              | import                       | re         | #3807   | 0.00003    | 10.4414    | " w"(0.088), "."(0.038), "',"(0.029)
Imports              | import                       | random     | #1371   | 0.00009    | 9.3476     | " w"(0.088), "."(0.038), "',"(0.029)
Imports              | from typing import           | List       | #1679   | 0.00007    | 9.5162     | " w"(0.078), "_"(0.049), "."(0.035)
Imports              | from pathlib import          | Path       | #853    | 0.00013    | 8.9203     | " w"(0.077), "_"(0.048), "."(0.039)
Imports              | import numpy as              | np         | #1631   | 0.00007    | 9.5341     | " w"(0.085), "."(0.042), "_"(0.037)
Imports              | import torch.nn as           | nn         | #6827   | 0.00002    | 11.0253    | " w"(0.041), "_"(0.021), "/"(0.016)
Imports              | from collections import      | defaultdict | #655    | 0.00017    | 8.6878     | " w"(0.095), "."(0.038), "',"(0.030)
Imports              | import logging               | as         | #8123   | 0.00000    | 13.3963    | " w"(0.110), "."(0.047), "#"(0.035)
Class names          | class                        | Base       | #145    | 0.00083    | 7.0939     | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Model      | #2197   | 0.00006    | 9.7736     | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Config     | #5382   | 0.00002    | 10.9142    | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Trainer    | #8071   | 0.00000    | 13.4377    | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | User       | #345    | 0.00035    | 7.9494     | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Dataset    | #1213   | 0.00010    | 9.1720     | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Engine     | #312    | 0.00039    | 7.8517     | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Handler    | #318    | 0.00038    | 7.8674     | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Session    | #2839   | 0.00004    | 10.0627    | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Exception  | #529    | 0.00023    | 8.3869     | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Node       | #3550   | 0.00003    | 10.3205    | " w"(0.082), "vi"(0.044), "."(0.033)
Class names          | class                        | Server     | #93     | 0.00121    | 6.7189     | " w"(0.082), "vi"(0.044), "."(0.033)
Attribute names      | self.                        | name       | #1179   | 0.00012    | 9.0618     | " w"(0.064), "_"(0.057), "."(0.029)
Attribute names      | self.                        | value      | #349    | 0.00035    | 7.9534     | " w"(0.064), "_"(0.057), "."(0.029)
Attribute names      | self.                        | config     | #4479   | 0.00003    | 10.4261    | " w"(0.064), "_"(0.057), "."(0.029)
Attribute names      | self.                        | device     | #464    | 0.00027    | 8.2308     | " w"(0.064), "_"(0.057), "."(0.029)
Attribute names      | self.                        | logger     | #7739   | 0.00001    | 11.9964    | " w"(0.064), "_"(0.057), "."(0.029)
Attribute names      | self.                        | state      | #8020   | 0.00000    | 12.8870    | " w"(0.064), "_"(0.057), "."(0.029)
Attribute names      | obj.                         | data       | #529    | 0.00021    | 8.4722     | "."(0.067), "_"(0.065), " w"(0.065)
Attribute names      | req.                         | json       | #242    | 0.00047    | 7.6675     | " w"(0.086), "."(0.049), "_"(0.039)
Attribute names      | path.                        | exists     | #3642   | 0.00003    | 10.5013    | " w"(0.070), "_"(0.062), "."(0.056)
Attribute names      | res.                         | status_code | #462    | 0.00023    | 8.3736     | "."(0.078), " w"(0.071), "_"(0.063)
===================================================================================================================
 SUMMARY FOR 12.5M (1:10 Ratio):
 Total Probes: 98
 Mean Rank: 1725.5 | Std Dev: 2300.6
 Mean CE Loss: 8.6091
 Top-1 Acc: 0.00% | Top-5 Acc: 0.00%
===================================================================================================================
