===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:5 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
Function names       | def convert_                 | type       | #45     | 0.00239    | 6.0348     | " w"(0.084), "_"(0.057), "."(0.049)
Function names       | def read_                    | bytes      | #1857   | 0.00007    | 9.6369     | " w"(0.084), "_"(0.052), "."(0.045)
Function names       | def create_                  | instance   | #112    | 0.00102    | 6.8910     | " w"(0.084), "_"(0.053), "."(0.045)
Keywords             | if x == 1:\n    pass\n       | else       | #389    | 0.00031    | 8.0740     | " w"(0.086), "_"(0.069), "."(0.063)
Keywords             | try:\n    pass\n             | except     | #352    | 0.00034    | 7.9898     | " w"(0.086), "_"(0.074), "."(0.067)
Keywords             | for i in                     | range      | #2878   | 0.00004    | 10.1785    | " w"(0.085), "_"(0.045), "."(0.037)
Keywords             | with open(path)              | as         | #8052   | 0.00000    | 12.4904    | " w"(0.083), "_"(0.044), "."(0.036)
Keywords             | if not                       | found      | #93     | 0.00119    | 6.7363     | " w"(0.083), "_"(0.047), "."(0.035)
Keywords             | while                        | True       | #275    | 0.00045    | 7.7002     | " w"(0.086), "_"(0.044), "."(0.037)
Keywords             | from typing                  | import     | #1222   | 0.00010    | 9.1732     | " w"(0.083), "_"(0.050), "."(0.043)
Keywords             | assert x is                  | not        | #1040   | 0.00012    | 8.9951     | " w"(0.084), "_"(0.055), "."(0.049)
Keywords             | if item                      | in         | #7475   | 0.00001    | 12.1749    | " w"(0.086), "_"(0.046), "."(0.036)
Keywords             | def func():\n                | return     | #311    | 0.00041    | 7.8030     | " w"(0.080), "_"(0.044), "."(0.036)
Keywords             | raise ValueError(            | msg        | #2741   | 0.00004    | 10.1274    | " w"(0.083), "_"(0.046), "."(0.035)
Keywords             | class MyClass(               | object     | #4797   | 0.00001    | 11.6697    | " w"(0.086), "_"(0.074), "."(0.067)
Keywords             | yield                        | from       | #539    | 0.00025    | 8.3094     | " w"(0.083), "_"(0.044), "."(0.038)
Operators            | x = a +                      | b          | #121    | 0.00091    | 7.0043     | " w"(0.083), "_"(0.046), "."(0.039)
Operators            | if a ==                      | b          | #122    | 0.00092    | 6.9920     | " w"(0.083), "_"(0.044), "."(0.036)
Operators            | x +=                         | 1          | #30     | 0.00339    | 5.6871     | " w"(0.080), "_"(0.044), "."(0.035)
Operators            | a >                          | 0          | #37     | 0.00288    | 5.8505     | " w"(0.078), "_"(0.046), "."(0.036)
Operators            | x = y *                      | z          | #239    | 0.00051    | 7.5857     | " w"(0.081), "_"(0.057), "."(0.048)
Operators            | a !=                         | None       | #467    | 0.00028    | 8.1743     | " w"(0.083), "_"(0.045), "."(0.037)
Operators            | count = len(arr) -           | 1          | #32     | 0.00333    | 5.7058     | " w"(0.086), "_"(0.069), "."(0.063)
Operators            | if x <=                      | max_val    | #171    | 0.00067    | 7.3122     | " w"(0.086), "_"(0.044), "."(0.036)
Operators            | idx = (i + 1) %              | n          | #94     | 0.00115    | 6.7675     | " w"(0.086), "_"(0.045), "."(0.039)
Operators            | res = a &                    | b          | #121    | 0.00091    | 6.9992     | " w"(0.086), "_"(0.045), "."(0.039)
Operators            | flags = A |                  | B          | #136    | 0.00080    | 7.1256     | " w"(0.084), "_"(0.060), "."(0.053)
Operators            | val = x **                   | 2          | #37     | 0.00291    | 5.8409     | " w"(0.084), "_"(0.059), "."(0.052)
Literals             | if x is                      | None       | #460    | 0.00028    | 8.1634     | " w"(0.085), "_"(0.044), "."(0.038)
Literals             | flag =                       | True       | #282    | 0.00044    | 7.7230     | " w"(0.083), "_"(0.043), "."(0.036)
Literals             | status =                     | False      | #632    | 0.00021    | 8.4653     | " w"(0.086), "_"(0.045), "."(0.036)
Literals             | count =                      | 0          | #32     | 0.00334    | 5.7027     | " w"(0.086), "_"(0.078), "."(0.071)
Literals             | name =                       | ""         | #2734   | 0.00004    | 10.1088    | " w"(0.083), "_"(0.047), "."(0.040)
Literals             | items =                      | []         | #43     | 0.00255    | 5.9706     | " w"(0.083), "_"(0.044), "."(0.037)
Literals             | data =                       | {}         | #2426   | 0.00005    | 9.9397     | " w"(0.083), "_"(0.049), "."(0.041)
Literals             | rate =                       | 0.0        | #39     | 0.00276    | 5.8941     | " w"(0.083), "_"(0.046), "."(0.039)
Literals             | idx =                        | -1         | #45     | 0.00249    | 5.9956     | " w"(0.083), "_"(0.044), "."(0.037)
Literals             | pi =                         | 3.14       | #73     | 0.00145    | 6.5349     | " w"(0.084), "_"(0.057), "."(0.048)
Literals             | res =                        | 1          | #33     | 0.00338    | 5.6909     | " w"(0.086), "_"(0.058), "."(0.051)
Literals             | msg =                        | "hello"    | #67     | 0.00159    | 6.4421     | " w"(0.078), "_"(0.044), "."(0.036)
Imports              | import                       | os         | #1066   | 0.00013    | 8.9747     | " w"(0.080), "_"(0.044), "."(0.035)
Imports              | import                       | sys        | #17     | 0.00547    | 5.2091     | " w"(0.080), "_"(0.044), "."(0.035)
Imports              | import                       | json       | #386    | 0.00034    | 7.9981     | " w"(0.080), "_"(0.044), "."(0.035)
Imports              | import                       | time       | #5122   | 0.00001    | 11.3341    | " w"(0.080), "_"(0.044), "."(0.035)
Imports              | import                       | math       | #1512   | 0.00009    | 9.3497     | " w"(0.080), "_"(0.044), "."(0.035)
Imports              | import                       | re         | #4794   | 0.00001    | 11.1778    | " w"(0.080), "_"(0.044), "."(0.035)
Imports              | import                       | random     | #1960   | 0.00006    | 9.6466     | " w"(0.080), "_"(0.044), "."(0.035)
Imports              | from typing import           | List       | #4622   | 0.00001    | 11.4463    | " w"(0.087), "_"(0.065), "."(0.060)
Imports              | from pathlib import          | Path       | #3014   | 0.00003    | 10.3093    | " w"(0.084), "_"(0.050), "."(0.043)
Imports              | import numpy as              | np         | #810    | 0.00017    | 8.6905     | " w"(0.083), "_"(0.044), "."(0.036)
Imports              | import torch.nn as           | nn         | #4425   | 0.00002    | 10.9890    | " w"(0.083), "_"(0.045), "."(0.038)
Imports              | from collections import      | defaultdict | #244    | 0.00049    | 7.6111     | " w"(0.084), "_"(0.051), "."(0.044)
Imports              | import logging               | as         | #8023   | 0.00000    | 13.0126    | " w"(0.086), "_"(0.074), "."(0.067)
Class names          | class                        | Base       | #148    | 0.00075    | 7.1937     | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Model      | #2565   | 0.00005    | 10.0042    | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Config     | #3078   | 0.00003    | 10.3011    | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Trainer    | #7720   | 0.00000    | 12.2698    | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | User       | #474    | 0.00028    | 8.1839     | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Dataset    | #1189   | 0.00011    | 9.1136     | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Engine     | #221    | 0.00055    | 7.5042     | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Handler    | #300    | 0.00042    | 7.7855     | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Session    | #2547   | 0.00005    | 9.9886     | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Exception  | #1853   | 0.00007    | 9.5980     | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Node       | #4074   | 0.00002    | 10.8323    | " w"(0.080), "_"(0.048), "."(0.035)
Class names          | class                        | Server     | #63     | 0.00171    | 6.3694     | " w"(0.080), "_"(0.048), "."(0.035)
Attribute names      | self.                        | name       | #3280   | 0.00003    | 10.4066    | " w"(0.083), "_"(0.047), "."(0.040)
Attribute names      | self.                        | value      | #19     | 0.00459    | 5.3832     | " w"(0.083), "_"(0.047), "."(0.040)
Attribute names      | self.                        | config     | #2387   | 0.00005    | 9.9066     | " w"(0.083), "_"(0.047), "."(0.040)
Attribute names      | self.                        | device     | #681    | 0.00020    | 8.5394     | " w"(0.083), "_"(0.047), "."(0.040)
Attribute names      | self.                        | logger     | #5923   | 0.00001    | 11.6722    | " w"(0.083), "_"(0.047), "."(0.040)
Attribute names      | self.                        | state      | #8163   | 0.00000    | 12.7972    | " w"(0.083), "_"(0.047), "."(0.040)
Attribute names      | obj.                         | data       | #431    | 0.00027    | 8.2051     | " w"(0.086), "_"(0.078), "."(0.071)
Attribute names      | req.                         | json       | #431    | 0.00029    | 8.1576     | " w"(0.087), "_"(0.067), "."(0.060)
Attribute names      | path.                        | exists     | #2845   | 0.00004    | 10.2037    | " w"(0.086), "_"(0.050), "."(0.042)
Attribute names      | res.                         | status_code | #727    | 0.00016    | 8.7531     | " w"(0.086), "_"(0.074), "."(0.067)
===================================================================================================================
 SUMMARY FOR 12.5M (1:5 Ratio):
 Total Probes: 98
 Mean Rank: 1769.2 | Std Dev: 2157.9
 Mean CE Loss: 8.6895
 Top-1 Acc: 0.00% | Top-5 Acc: 0.00%
===================================================================================================================
