===================================================================================================================
 100 CONTEXTUAL PROBES SUITE: 12.5M (1:25 Ratio)
===================================================================================================================
CATEGORY             | PROMPT                       | TARGET     | RANK    | P(target)  | CE(-logP)  | TOP 3 PREDICTED
Function names       | def calculate_               | total      | #4487   | 0.00002    | 10.6970    | " w"(0.071), "."(0.026), "#"(0.015)
Function names       | def convert_                 | type       | #32     | 0.00156    | 6.4619     | " w"(0.018), "_"(0.013), " th"(0.008)
Function names       | def read_                    | bytes      | #1605   | 0.00008    | 9.4502     | " w"(0.067), "_"(0.065), "."(0.029)
Function names       | def create_                  | instance   | #293    | 0.00047    | 7.6634     | " w"(0.065), "_"(0.059), "."(0.028)
Keywords             | if x == 1:\n    pass\n       | else       | #424    | 0.00035    | 7.9715     | " w"(0.071), "."(0.030), "vi"(0.018)
Keywords             | try:\n    pass\n             | except     | #425    | 0.00036    | 7.9241     | " w"(0.067), "."(0.028), "vi"(0.026)
Keywords             | for i in                     | range      | #5216   | 0.00002    | 11.0330    | " w"(0.078), "vi"(0.031), "."(0.030)
Keywords             | with open(path)              | as         | #8011   | 0.00000    | 12.8972    | " w"(0.083), "_"(0.049), "."(0.049)
Keywords             | if not                       | found      | #161    | 0.00082    | 7.1026     | " w"(0.073), "vi"(0.028), "."(0.028)
Keywords             | while                        | True       | #1007   | 0.00018    | 8.5994     | " w"(0.018), "                "(0.013), ","(0.013)
Keywords             | from typing                  | import     | #1971   | 0.00007    | 9.5045     | " w"(0.067), "."(0.025), "_"(0.014)
Keywords             | assert x is                  | not        | #1089   | 0.00013    | 8.9423     | " w"(0.080), "."(0.032), "vi"(0.021)
Keywords             | if item                      | in         | #7118   | 0.00001    | 11.6534    | " w"(0.068), "."(0.027), "vi"(0.020)
Keywords             | def func():\n                | return     | #323    | 0.00047    | 7.6690     | " w"(0.067), "."(0.027), "#"(0.016)
Keywords             | raise ValueError(            | msg        | #3025   | 0.00003    | 10.4631    | " w"(0.087), "_"(0.045), "."(0.044)
Keywords             | class MyClass(               | object     | #5357   | 0.00001    | 11.2985    | " w"(0.086), "."(0.037), "_"(0.036)
Keywords             | yield                        | from       | #460    | 0.00032    | 8.0437     | " w"(0.073), "."(0.029), "#"(0.019)
Operators            | x = a +                      | b          | #106    | 0.00107    | 6.8373     | " w"(0.075), "."(0.029), "#"(0.018)
Operators            | if a ==                      | b          | #111    | 0.00106    | 6.8525     | " w"(0.072), "."(0.028), "#"(0.019)
Operators            | x +=                         | 1          | #27     | 0.00413    | 5.4903     | " w"(0.083), "."(0.030), ","(0.022)
Operators            | a >                          | 0          | #40     | 0.00272    | 5.9074     | " w"(0.074), "."(0.031), "vi"(0.017)
Operators            | x = y *                      | z          | #284    | 0.00050    | 7.6022     | " w"(0.076), "_"(0.032), "."(0.031)
Operators            | a !=                         | None       | #1067   | 0.00013    | 8.9112     | " w"(0.069), "."(0.029), "#"(0.019)
Operators            | count = len(arr) -           | 1          | #24     | 0.00344    | 5.6727     | " w"(0.067), "_"(0.060), "."(0.031)
Operators            | if x <=                      | max_val    | #286    | 0.00052    | 7.5699     | " w"(0.072), "."(0.031), "vi"(0.018)
Operators            | idx = (i + 1) %              | n          | #81     | 0.00125    | 6.6862     | " w"(0.077), "."(0.032), "vi"(0.025)
Operators            | res = a &                    | b          | #76     | 0.00133    | 6.6256     | " w"(0.081), "."(0.030), "vi"(0.024)
Operators            | flags = A |                  | B          | #259    | 0.00049    | 7.6121     | " w"(0.076), "_"(0.052), "."(0.045)
Operators            | val = x **                   | 2          | #27     | 0.00358    | 5.6314     | " w"(0.070), "."(0.030), "vi"(0.016)
Literals             | if x is                      | None       | #945    | 0.00016    | 8.7587     | " w"(0.078), "."(0.031), "vi"(0.020)
Literals             | flag =                       | True       | #684    | 0.00022    | 8.4216     | " w"(0.074), "."(0.031), "vi"(0.025)
Literals             | status =                     | False      | #516    | 0.00029    | 8.1522     | " w"(0.081), "."(0.030), "_"(0.019)
Literals             | count =                      | 0          | #38     | 0.00262    | 5.9455     | " w"(0.078), "_"(0.036), "."(0.032)
Literals             | name =                       | ""         | #2229   | 0.00006    | 9.6862     | " w"(0.064), "_"(0.031), "."(0.028)
Literals             | items =                      | []         | #43     | 0.00237    | 6.0444     | " w"(0.088), "."(0.046), "_"(0.029)
Literals             | data =                       | {}         | #860    | 0.00017    | 8.6567     | " w"(0.075), "."(0.031), "vi"(0.020)
Literals             | rate =                       | 0.0        | #41     | 0.00274    | 5.8998     | " w"(0.075), "."(0.031), "vi"(0.019)
Literals             | idx =                        | -1         | #35     | 0.00275    | 5.8944     | " w"(0.072), "_"(0.037), "."(0.031)
Literals             | pi =                         | 3.14       | #91     | 0.00116    | 6.7626     | " w"(0.070), "."(0.033), "_"(0.024)
Literals             | res =                        | 1          | #23     | 0.00374    | 5.5881     | " w"(0.081), "."(0.037), "_"(0.025)
Literals             | msg =                        | "hello"    | #43     | 0.00218    | 6.1307     | " w"(0.075), "_"(0.043), "."(0.031)
Imports              | import                       | os         | #788    | 0.00016    | 8.7630     | " w"(0.084), "_"(0.054), "."(0.043)
Imports              | import                       | sys        | #19     | 0.00510    | 5.2786     | " w"(0.084), "_"(0.054), "."(0.043)
Imports              | import                       | json       | #321    | 0.00040    | 7.8138     | " w"(0.084), "_"(0.054), "."(0.043)
Imports              | import                       | time       | #2071   | 0.00005    | 9.9505     | " w"(0.084), "_"(0.054), "."(0.043)
Imports              | import                       | math       | #1657   | 0.00007    | 9.6380     | " w"(0.084), "_"(0.054), "."(0.043)
Imports              | import                       | re         | #3811   | 0.00002    | 10.8411    | " w"(0.084), "_"(0.054), "."(0.043)
Imports              | import                       | random     | #1166   | 0.00010    | 9.2005     | " w"(0.084), "_"(0.054), "."(0.043)
Imports              | from typing import           | List       | #2821   | 0.00004    | 10.0159    | " w"(0.069), "."(0.028), "vi"(0.017)
Imports              | from pathlib import          | Path       | #1831   | 0.00006    | 9.6759     | " w"(0.074), "_"(0.053), "."(0.031)
Imports              | import numpy as              | np         | #1903   | 0.00005    | 9.8120     | " w"(0.086), "_"(0.049), "."(0.045)
Imports              | import torch.nn as           | nn         | #7188   | 0.00001    | 12.0691    | " w"(0.084), "."(0.049), "_"(0.039)
Imports              | from collections import      | defaultdict | #398    | 0.00035    | 7.9486     | " w"(0.087), "."(0.041), "_"(0.033)
Imports              | import logging               | as         | #7954   | 0.00000    | 12.3367    | " w"(0.075), "."(0.030), "_"(0.016)
Class names          | class                        | Base       | #253    | 0.00053    | 7.5470     | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Model      | #2224   | 0.00005    | 9.8907     | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Config     | #5347   | 0.00001    | 11.2189    | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Trainer    | #7756   | 0.00000    | 12.3282    | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | User       | #461    | 0.00030    | 8.0978     | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Dataset    | #861    | 0.00016    | 8.7345     | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Engine     | #272    | 0.00050    | 7.6066     | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Handler    | #447    | 0.00031    | 8.0665     | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Session    | #3191   | 0.00003    | 10.3751    | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Exception  | #962    | 0.00014    | 8.8517     | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Node       | #3386   | 0.00003    | 10.4689    | " w"(0.086), "."(0.036), "_"(0.033)
Class names          | class                        | Server     | #170    | 0.00078    | 7.1525     | " w"(0.086), "."(0.036), "_"(0.033)
Attribute names      | self.                        | name       | #5581   | 0.00001    | 11.5325    | " w"(0.090), "."(0.058), "',"(0.034)
Attribute names      | self.                        | value      | #12     | 0.00949    | 4.6575     | " w"(0.090), "."(0.058), "',"(0.034)
Attribute names      | self.                        | config     | #3830   | 0.00002    | 10.8450    | " w"(0.090), "."(0.058), "',"(0.034)
Attribute names      | self.                        | device     | #170    | 0.00070    | 7.2698     | " w"(0.090), "."(0.058), "',"(0.034)
Attribute names      | self.                        | logger     | #6712   | 0.00001    | 11.9700    | " w"(0.090), "."(0.058), "',"(0.034)
Attribute names      | self.                        | state      | #8116   | 0.00000    | 13.1887    | " w"(0.090), "."(0.058), "',"(0.034)
Attribute names      | obj.                         | data       | #445    | 0.00033    | 8.0071     | " w"(0.073), "."(0.042), "_"(0.022)
Attribute names      | req.                         | json       | #352    | 0.00040    | 7.8118     | " w"(0.082), "."(0.044), "_"(0.026)
Attribute names      | path.                        | exists     | #1125   | 0.00012    | 9.0645     | " w"(0.081), "."(0.049), "_"(0.029)
Attribute names      | res.                         | status_code | #432    | 0.00031    | 8.0899     | " w"(0.087), "."(0.056), "',"(0.032)
===================================================================================================================
 SUMMARY FOR 12.5M (1:25 Ratio):
 Total Probes: 98
 Mean Rank: 1939.9 | Std Dev: 2391.7
 Mean CE Loss: 8.7183
 Top-1 Acc: 0.00% | Top-5 Acc: 0.00%
===================================================================================================================
